Key,English [en-GB],French [fr],German [de],Spanish [es],Polish [pl],
Quest_JOTL_001_RoadsideAmbush_OUTRO_TRAVEL_3,"It's a long shot but one worth investigating, especially considering this ambush site doesn't look like their base of operations. There is probably a nest nearby that, with any luck, will have more information on the missing blacksmith.","Cela vaut la peine de se pencher sur la question, surtout que cet endroit n'a pas l'air d'être leur base d'opérations. Il doit y avoir un nid tout près et, avec un peu de chance, vous y dégoterez des informations sur le forgeron disparu.","Das ist weit hergeholt, aber es kann nicht schaden, der Sache nachzugehen, denn der Ort sieht nicht aus, als wäre es ihr übliches Lager. Wahrscheinlich gibt es in der Nähe einen Bau, wo ihr mit etwas Glück mehr Informationen zu dem vermissten Schmied findet.","Es una posibilidad remota, pero que vale la pena investigar. Sobre todo teniendo en cuenta que el lugar donde han tendido la emboscada no parece su base de operaciones. Seguramente encontraréis un nido cerca en el que, con suerte, habrá más información sobre el herrero desaparecido.","Mało prawdopodobne, ale warte bliższego zbadania, szczególnie że miejsce zasadzki nie wygląda na ich bazę operacyjną. Gdzieś w pobliżu jest pewnie gniazdo, a tam — o ile szczęście dopisze — znajdziecie jakieś informacje o zaginionym kowalu.",
Quest_JOTL_001_RoadsideAmbush_OUTRO_TRAVEL_4,And treasure. Treasure would be nice.,"Et il y aura peut-être aussi un trésor, là-bas. Ce serait un bonus non négligeable.",Und Beute. Beute wäre toll.,Y tesoro. Algo de tesoro estaría bien.,No i skarby. Skarby to też dobra rzecz.,
Quest_JOTL_002_AHoleInTheWall_NAME,A Hole In The Wall,Un Trou dans le Mur,Das Mauerloch,Un agujero en la pared,Dziura w murze,
Quest_JOTL_002_AHoleInTheWall_DESC,It's time to find out where the Vermlings that attacked you came from.,Il est temps de découvrir d'où venaient les Vermlings qui vous ont attaqués.,"Es ist an der Zeit herauszufinden, woher diese Ratzen kamen.",Es hora de averiguar de dónde salieron los infestores que os atacaron.,"Czas ustalić, skąd się wzięły szczuroki, które was zaatakowały.",
Quest_JOTL_002_AHoleInTheWall_LIST,Investigate the Vermling Ambush location,Découvrez d'où venaient les Vermlings qui vous ont tendu une embuscade,Untersucht den Ort des Ratzenhinterhalts.,Investiga el lugar donde os emboscaron los infestores.,Zbadajcie miejsce zasadzki szczuroków.,
Quest_JOTL_002_AHoleInTheWall_INTRO_GH_1,You can't shake the uneasy feeling that those Vermlings were too close to the city walls and decide to revisit the scene of their ambush. Perhaps you'll find signs of the Blacksmith there too?,"Vous ne parvenez pas à vous défaire d'une désagréable impression. Ces Vermlings n'avaient rien à faire aussi près des murs de la cité, aussi décidez-vous de retourner sur le site de l'embuscade. Peut-être y trouverez-vous des indices qui vous conduiront jusqu'au forgeron...","Ihr werdet das unangenehme Gefühl nicht los, dass diese Ratzen viel zu nah an der Stadtmauer sind und beschließt, den Ort des Überfalls noch einmal aufzusuchen. Vielleicht findet ihr dort ja sogar eine Spur des Schmiedes?",No consigues quitarte de la cabeza la idea de que esos infestores estaban demasiado cerca de las murallas de la ciudad y decides revisitar el lugar de la emboscada. Quizá allí también encuentres señales del herrero.,"Nie możecie pozbyć się niepokojącego wrażenia, że szczuroki były coś za blisko murów miasta, postanawiacie więc wrócić na miejsce zasadzki. Może znajdziecie tam też jakieś ślady po kowalu? ",
Quest_JOTL_002_AHoleInTheWall_INTRO_TRAVEL_1,The tracks are easy to spot. Vermlings have never been known for their subtlety. You follow the scratching and indicators of a body being dragged until you find yourself approaching the walls of Gloomhaven,"Les traces sont faciles à trouver, les Vermlings n'ayant jamais été connus pour leur discrétion. Un corps a manifestement été traîné sur le sol. Vous suivez la piste, qui vous ramène vers les murs de Havrenuit.","Die Fährte ist leicht zu erkennen. Ihr folgt der Spur, die anscheinend von einer über den Boden gezogenen Leiche stammt, als ihr merkt, dass ihr euch den Stadtmauern von Gloomhaven nähert.",Nos os cuesta mucho encontrar su rastro. Los infestores no son famosos por su sutileza. Seguís los arañazos y las huellas de un cuerpo arrastrado hasta que os encontráis cerca de las murallas de Gloomhaven.,"Trop jest wyraźnie widoczny. Szczuroki nigdy nie słynęły ze swej subtelności. Podążacie za zadrapaniami i śladami ciągniętego po ziemi ciała, aż w końcu zbliżacie się do murów Gloomhaven.",
Quest_JOTL_002_AHoleInTheWall_INTRO,"The sun is very low, but something isn’t right. That isn’t just a shadow cast across a lower section of the wall. It’s a hole. The Vermlings have made a nest for themselves by burrowing into the wall itself. How industrious.","Le soleil est très bas sur l'horizon, mais malgré tout, quelque chose cloche. Ce que vous voyez en bas des murs, devant vous, ce n'est pas une ombre, mais un trou. C'est là que les Vermlings se seraient fait leur nid ? Voilà qui est pour le moins surprenant...","Die Sonne steht tief, aber irgendetwas stimmt da nicht. Das da im unteren Bereich der Mauer vor euch ist kein Schatten, sondern ein Loch. Die Ratzen haben ihren Bau tief in das Fundament gegraben. Wie fleißig.","Aunque están oscurecidas porque el sol está a punto de ponerse, algo parece fuera de lugar. Lo que veis no es una simple sombra proyectada en una sección baja. Es un agujero. Los infestores se han hecho un nido excavando en la propia muralla. Qué hacendosos.","Słońce zeszło już bardzo nisko, ale coś jest nie tak. To co widzicie w dolnej części muru to nie cień. Tu dziura. Szczuroki zrobiły sobie gniazdo wydrążając je w miejskim murze. Całkiem sprytne.",
Scenario_JOTL_002_AHoleInTheWall_Start_1,"You crouch low and try to sneak closer, but they must have guards watching the entrance. There is a shrill shrieking, and then, a number of Vermlings jump from the dark, brandishing their dull, poorly-made weapons. No choice now but to defend yourself.","Vous vous accroupissez et tentez de vous approcher subrepticement, mais il y a apparemment des gardes à l'entrée. Vous entendez un hurlement strident et, aussitôt après, plusieurs Vermlings jaillissent de l'obscurité, brandissant leurs armes grossières. Vous n'avez pas le choix, il va falloir vous défendre.","Ihr versucht, euch geduckt heranzuschleichen, aber sie müssen wohl Wachen am Eingang postiert haben. Mit einem schrillen Schrei springen mehrere Ratzen aus dem dunklen Loch und schwingen ihre stumpfen, grob gefertigten Waffen. Euch bleibt nichts anderes übrig, als euch zu verteidigen.","Os agacháis e intentáis acercaros sin ser vistos, pero deben tener guardias apostados en la entrada. Se oye un chillido estridente y, de inmediato, varios infestores saltan desde la oscuridad, blandiendo sus armas melladas y contrahechas. Ahora no os queda más remedio que defenderos.","Schylacie się i próbujecie zakraść się bliżej, ale wejścia strzegli strażnicy. Słyszycie przenikliwy pisk, po czym z ciemności wyskakuje grupa szczuroków dzierżących tępą, prymitywną broń. Nie macie wyjścia, musicie się bronić.",
Quest_JOTL_002_AHoleInTheWall_OUTRO_TRAVEL_1,"With the foul nest cleansed of those wretched creatures, you take your time searching every nook. Surely, the city guard will want to know about this...it can’t be safe to have Vermlings tunneling through the walls. It’s hard enough to fend off their raids as it is.","Maintenant que tous les Vermlings sont morts, vous prenez le temps de fouiller leur repaire. Il va falloir prévenir les gardes de la présence de ce nid, car on ne peut tolérer que ces créatures creusent les murs de la cité. Leurs raids sont déjà suffisamment préoccupants sans qu'on les laisse s'installer durablement dans les environs.","Nachdem ihr die elenden Kreaturen besiegt habt, nehmt ihr euch Zeit, jeden Winkel ihres Baus zu durchsuchen. Die Stadtwache muss hiervon erfahren - sie darf nicht zulassen, dass sich Ratzen unter den Mauern hindurchgraben. Es ist so schon schwer genug, ihre Überfälle abzuwehren.","Ahora que el repugnante nido ha quedado despejado de esas criaturas miserables, os tomáis vuestro tiempo para buscar en cada rincón. Seguramente, la guardia de la ciudad querrá enterarse de lo que está pasando; que los infestores estén haciendo túneles en las murallas no puede ser bueno para la seguridad. Ya es lo bastante difícil defenderse de sus incursiones.","Kiedy w końcu oczyszczacie plugawe gniazdo z tych parszywych stworzeń, dokładnie badacie każdy jego zakamarek. Straż miejska na pewno będzie chciała o tym wiedzieć — nie można pozwolić, by szczurok drążyły tunele w murach. Odpędzanie ich band jest wystarczająco trudne.",
Quest_JOTL_002_AHoleInTheWall_OUTRO_TRAVEL_2,"Under some rotten wooden boards, you manage to find an unexpectedly large amount of gold - and while Sifting through the treasure, you find a strange note.  it details some business arrangement, written In crude scratching, between the Vermlings and someone by the name of Roland.","À votre grande surprise, vous trouvez une importante quantité d'or cachée derrière quelques planches à moitié pourries. En comptant les pièces, vous découvrez également une note étrange sur laquelle est griffonné un vague accord entre les Vermlings et un certain Roland.","Bei eurer Suche stoßt ihr unter einigen verrotteten Holzbrettern auf eine unerwartet große Menge Gold. Als ihr den Schatz durchstöbert, findet ihr auch eine seltsame Notiz: eine krakelige geschäftliche Vereinbarung zwischen den Ratzen und jemandem namens Roland.","Al final, os las arregláis para encontrar una cantidad de oro inesperadamente importante bajo algunas tablas de madera podrida. Rebuscando entre el tesoro, encontráis también una extraña nota. Con toscos arañazos, detalla un acuerdo comercial entre los infestores y alguien llamado Roland.","W końcu, pod przegniłymi, drewnianymi deskami znajdujecie nieoczekiwanie dużo złota. Pośród monet zauważacie dziwną notatkę. Niechlujnymi bazgrołami zapisano tam szczegóły umowy pomiędzy szczurokami i jakimś osobnikiem o imieniu Roland.",
Quest_JOTL_002_AHoleInTheWall_OUTRO_TRAVEL_3,"Apparently, in exchange for supplying fresh corpses, Roland would pay the Vermlings in gold. And judging by the amount here, the Vermlings managed to kill quite a few people before you put an end to it","Apparemment, ce dernier aurait promis de l'or aux Vermlings s'ils l'approvisionnaient en cadavres encore frais. Et à en juger par la somme que vous voyez là, les hommes-rats ont dû réussir à tuer pas mal de monde avant que vous ne mettiez un terme à leurs déprédations.","Anscheinend hat dieser Roland versprochen, die Ratzen für die Lieferung frischer Leichen zu bezahlen. Und nach der Summe hier zu urteilen, konnten die Ratzen vor eurem Einschreiten schon eine ganze Reihe von Leichen liefern.","Al parecer, a cambio de suministrar cadáveres frescos, Roland pagaría a los infestores en oro. A juzgar por la cantidad acumulada, los infestores se las arreglaron para matar a bastantes personas antes de que los detuvieseis.","Wynika z niej, że Roland zapłaci szczurokom złotem, w zamian za dostawę świeżych zwłok. Oceniając po zgromadzonym bogactwie, szczuroki zabiły całkiem sporo osób, zanim położyliście temu kres.",
Quest_JOTL_002_AHoleInTheWall_OUTRO_TRAVEL_4,"It’s the only lead you have, so it’s time to ferret out this Roland character. After resting at the Sleeping Lion, of course.","Ce Roland est la seule piste que vous ayez, aussi est-il temps de se lancer sur sa piste. Après une bonne nuit de sommeil au Lion Assoupi, bien sûr.","Das ist eure einzige Spur, also wird es Zeit, diesen Roland aufzustöbern. Nachdem ihr euch im Schlafenden Löwen ausgiebig entspannt habt, versteht sich.","Es la mejor pista que tenéis, así que es hora de encontrar a este tal Roland. Después de descansar en el León Durmiente, por supuesto.","To wasza najlepsza poszlaka, więc czas wywęszyć tego całego Rolanda. Ale to oczywiście po odpoczynku pod Śpiącym Lwem.",
Quest_JOTL_003_TheBlackShip_NAME,The Black Ship,Le Vaisseau Noir,Das schwarze Schiff,El Barco Negro,Czarny statek,
Quest_JOTL_003_TheBlackShip_DESC,"Roland is key to the disappearances, time to start asking around town about him",Roland semble être la clé pour expliquer ces disparitions. Il est temps de vous renseigner à son sujet en ville.,Roland steckt hinter den Vermisstenfällen. Ihr solltet euch in der Stadt nach ihm umhören.,"Roland es la clave de las desapariciones, es hora de preguntar por él en la ciudad.",Roland to klucz do rozwiązania zagadki zniknięć. Czas rozpytać o niego w mieście,
Quest_JOTL_003_TheBlackShip_LIST,Find out more about Roland,Apprenez-en davantage au sujet de Roland,Findet mehr über Roland heraus.,Obtén información sobre Roland.,Dowiedzcie się więcej o Rolandzie,
Quest_JOTL_003_TheBlackShip_INTRO_GH_1,"After getting your fill of stew and plenty of rest at the Sleeping Lion, you start off early in the morning. The first order of business is looking for information on someone named Roland who seems to be making a trade out of buying fresh corpses, and you’d like to know why.","Après avoir mangé un excellent ragoût au Lion Assoupi et profité d'une bonne nuit de sommeil, vous repartez tôt le lendemain matin. Votre première priorité consiste à trouver des renseignements sur un certain Roland. Ce dernier semble acheter des cadavres récents, et vous aimeriez bien savoir pourquoi.","Nachdem ihr euch im Schlafenden Löwen ausgeruht und an Eintopf satt gegessen habt, brecht ihr früh morgens auf. Der erste Punkt der Tagesordnung ist die Suche nach Informationen über diesen ominösen Roland. Er scheint einen Handel mit frischen Leichen zu betreiben und ihr würdet gerne den Grund dafür erfahren.","Después de hartaros de guiso y tras un buen descanso en el León Durmiente, os despertáis temprano. Lo primero que hacéis es buscar información sobre ese tipo llamado Roland. Parece que se dedica a comprar cadáveres frescos, y os gustaría saber por qué.","Najedliście się do syta gulaszem i odpoczęliście w pieleszach Śpiącego Lwa, po czym wczesnym rankiem zrywacie się do pracy. Najpierw trzeba poszukać informacji o osobniku imieniem Roland. Wygląda na to, ze zajmuje się skupowaniem świeżych trupów i chcielibyście dowiedzieć się dlaczego. ",
