Keys,English [en-GB],French [fr],German [de],Spanish [es],Polish [pl]
Quest_SOLO_Soothsinger_BattleOfTheBards_INTRO_TRAVEL_1,You sigh and make your way to the Brown Door. Not to help the owner... he’s a scumbag... but to stop this Vermling from giving all bards a bad name.,"Poussant un soupir de résignation, vous vous dirigez vers la Porte Brune. Non pas pour aider le propriétaire, qui est une véritable ordure, mais pour empêcher cette Vermling de ternir la réputation de tous les bardes.","Du machst dich seufzend auf den Weg zur Braunen Tür. Du tust es nicht für diesen Mistkerl von Wirt, sondern um zu verhindern, dass die Ratze den Ruf aller Barden befleckt.","Suspiras y te diriges a la Puerta Marrón, no para ayudar al propietario, que es un estúpido, sino para que esa infestora deje de mancillar la reputación de los bardos.","Wzdychasz i udajesz się do Brązowych Drzwi. Nie po to, żeby pomóc właścicielowi, który jest draniem, ale powstrzymać tą, która chce zepsuć dobre imię wszystkich bardów."
Quest_SOLO_Soothsinger_BattleOfTheBards_INTRO,"Outside the entrance, the owner has assembled a motley assortment of street toughs to assist you. They look a little nervous, going up against something they don’t understand, but even just tuning your lute seems to calm them a bit. Then you begin to strum and walk into the bar.","À l'extérieur de l'établissement, vous voyez que le propriétaire de la Porte Brute a assemblé une bande de gros bras pour vous aider. Ils ont l'air un peu inquiets de devoir faire face à quelque chose qu'ils ne connaissent pas, mais le simple son de votre luth alors que vous l'accordez semble quelque peu les apaiser. Puis, enfin prête, vous entrez dans le bar.","Vor dem Eingang hat der Wirt eine bunte Truppe von Schlägern versammelt, die dir helfen sollen. Sie wirken nervös, weil sie den Gegner nicht verstehen, aber als du deine Laute stimmst, beruhigen sie sich ein wenig. Dann beginnst du zu spielen und gehst hinein.","En la entrada, ves al grupo de matones callejeros que el propietario ha reunido allí para ayudarte. Parecen algo nerviosos por tener que enfrentarse a algo que no entienden, pero el mero hecho de afinar tu laúd parece calmarlos un poco. Entonces, comienzas a rasguear el instrumento y entras en el bar.","Przed wejściem właściciel zebrał grupę miejscowych twardzieli, którzy są chętni ci pomóc. Wyglądają na zdenerwowanych. Mają walczyć z czymś, czego nie rozumieją, ale samo strojenie lutni wydaje się ich nieco uspokajać. Wtedy zaczynasz grać i wchodzisz do gospody."
Scenario_SOLO_Soothsinger_BattleOfTheBards_Room_2_1,"After the decisive battle in the entryway, your allies are emboldened. You rush forward into the next room, only to narrowly dodge a barrage of crossbow bolts from the stage on other side.",Vos alliés semblent plus confiants suite à votre victoire à l'entrée. Vous vous précipitez dans la salle suivante en esquivant de justesse les carreaux d'arbalète d'un tir de barrage provenant de la scène située en face de vous.,Nach dem entscheidenden Kampf im Eingangsbereich sind deine Verbündeten ermutigt. Du stürmst voran und kannst im nächsten Raum gerade noch dem Hagel von Armbrustbolzen von der Bühne gegenüber ausweichen.,"Tras la decisiva batalla de la entrada, tus aliados se han envalentonado. Corres hasta la siguiente sala, esquivando por los pelos un aluvión de flechas de ballesta que proviene del escenario.","Po zwycięskim starciu w holu, twoi sojusznicy czują się znacznie pewniej. Spieszysz naprzód do następnego pomieszczenia, ledwo unikając salwy bełtów ze sceny po drugiej stronie."
Scenario_SOLO_Soothsinger_BattleOfTheBards_Room_2_2,"""You have no hope, Soothsinger!"" A silky voice drifts from behind the curtains on the far wall. ""Take your pathetic band of drunkards and leave me be!""","« Tu n'as pas la moindre chance, Chante-Vrai ! entendez-vous derrière le rideau du fond. Repartez, ta bande de soudards et toi, et laissez-moi tranquille ! »","""Lass alle Hoffnung fahren, Wahrsängerin!"", erklingt eine seidige Stimme hinter dem Bühnenvorhang. ""Nimm deine jämmerliche Bande von Säufern und lass mich zufrieden!","—¡No tienes ninguna posibilidad, Melodiosa! —un profundo bramido retumba tras las cortinas de la pared del fondo—. ¡Llévate a tu patético grupo de borrachos y déjame en paz!",„Poddaj się!“ - głęboki głos odbija się echem po sali. „Weź swoją żałosną bandę pijaków i zostaw mnie!“
Scenario_SOLO_Soothsinger_BattleOfTheBards_Room_2_3,"""The Song of the Deep is within us all. It is only a matter of time before it begins calling to you, as well.""","« Le Chant des Profondeurs réside au fond de chacun d'entre nous. Ce n'est qu'une question de temps avant qu'il ne commence à t'appeler, toi aussi. »","Das Tiefenlied erklingt in uns allen. Es ist nur eine Frage der Zeit, bis es auch dich ruft.""",La Canción de las profundidades está en nuestro interior. Es solo cuestión de tiempo que empiece a llamarte a ti también.,"„Pieśń Otchłani jest w nas wszystkich. To tylko kwestia czasu, zanim zacznie cię wzywać.“"
Scenario_SOLO_Soothsinger_BattleOfTheBards_Room_4_1,"At last, hiding in a green room backstage, you find the Vermling bard, guarded by two more of her enthralled victims.","Enfin, cachée dans une loge des coulisses, vous trouvez la Vermling, protégée par deux autres de ses victimes soumises.","Endlich findest du in einem Raum hinter der Bühne die Ratzen-Bardin, die von zwei ihrer verzauberten Opfer bewacht wird.","Al final, escondida en un camerino tras el escenario, encuentras a la bardo infestora, protegida por 2 de sus víctimas dominadas mentalmente.","W końcu, w zielonym pokoju za kulisami, znajdujesz szczurokę, strzeżoną przez jeszcze dwie zauroczone ofiary."
Scenario_SOLO_Soothsinger_BattleOfTheBards_Room_4_2,"""Your performance is admirable, Soothsinger, but how much longer can you hope to play?"" The Vermling’s unnaturally deep voice clouds your mind.","« Je ne peux que te féliciter pour la qualité de ton récital, mais combien de temps peux-tu encore espérer jouer ? » demande la Vermling d'une voix étonnamment grave qui vous embrouille l'esprit.","""Deine Darbietung ist bewundernswert, Wahrsängerin, aber wie lange kannst du weiterspielen?"" Die unnatürlich tiefe Stimme der Sängerin trübt deinen Verstand.","—Tu actuación es admirable, Melodiosa, pero ¿cuánto tiempo esperas poder seguir tocando? —la sobrenatural voz de la infestora te nubla la mente.","„Twój występ jest godny podziwu, ale jak długo jeszcze masz nadzieję grać?“ Nienaturalnie głęboki głos szczuroki przyćmiewa twoje myśli."
Scenario_SOLO_Soothsinger_BattleOfTheBards_Room_4_3,"She strums a strange lute as she speaks, weaving a tapestry of sound that buries you in reverberating unease.","Tout en parlant, elle égraine sur un étrange luth une fresque sonore qui provoque en vous un malaise croissant.","Sie spielt eine seltsame Laute, während sie spricht, und webt einen Klangteppich, der dich mit Unbehagen erfüllt.","Mientras habla, toca un extraño laúd, tejiendo un tapiz de sonidos que te entierra en una inquietud reverberante.","Mówiąc to, pieśniarka uderza w struny dziwnej lutni, wyczarowując ścianę dźwięków, która napełnia cię pulsującym niepokojem."
Scenario_SOLO_Soothsinger_BattleOfTheBards_Room_4_4,"""Can you keep up your petty songs long enough to stop me? Even as you falter, the Song of the Deep continues on into the infinite. Your soul will be mine soon enough!""","« Crois-tu pouvoir continuer à jouer tes insignifiantes chansonnettes assez longtemps pour m'arrêter ? Tu vacilles déjà, alors que le Chant des Profondeurs se poursuit à l'infini. Ton esprit m'appartiendra bientôt ! »","""Kannst du deine schnöden Lieder lange genug spielen, um mich aufzuhalten? Während du scheiterst, erklingt das Tiefenlied weiter bis in die Unendlichkeit. Deine Seele wird schon bald mir gehören!""",—¿Puedes tocar tus insignificantes canciones el tiempo suficiente para detenerme? La Canción de las profundidades continuará sin cesar incluso aunque yo vacile. ¡Pronto tu alma será mía!,"„Czy będziesz grać swoje miałkie melodie wystarczająco długo, aby mnie powstrzymać? Kiedy się złamiesz, Pieśń Otchłani będzie trwać w nieskończoność. Twoja dusza wkrótce będzie moja!“"
Scenario_SOLO_Soothsinger_BattleOfTheBards_Success_1,"A dissonant chord rings out as the Vermling falls, her lute clattering to the floor. The bellowing sound of the Song of the Deep is cut short, and its oppressive weight is immediately lifted.","Une note dissonante résonne alors que la Vermling s'effondre, son luth tombant par terre. Le son hurlant du Chant des Profondeurs s'interrompt aussitôt et son poids oppressant se dissipe.","Es gibt einen Missklang, als die Ratze fällt und ihre Laute auf den Boden schlägt. Das dröhnende Tiefenlied bricht ab. Sein erdrückendes Gewicht hebt sich sofort von dir.",Se escucha un acorde disonante cuando la infestora cae y su laúd choca con el suelo. El ruido atronador de la Canción de las profundidades se para en seco y su opresivo peso se disipa de inmediato.,"Rozbrzmiewa fałszywy akord, gdy szczuroka pada, a lutnia z trzaskiem uderza o podłogę. Pieśń Otchłani zostaje przerwana, a jej urok natychmiast przestaje działać."
Scenario_SOLO_Soothsinger_BattleOfTheBards_Success_2,Those of your allies who were not cut down laugh and breathe a sigh of relief. The danger has passed.,Vos alliés qui n'ont pas succombé rient et soupirent de soulagement. Le danger est passé.,"Diejenigen deiner Verbündeten, die nicht niedergestreckt wurden, lachen erleichtert auf. Die Gefahr ist gebannt.",Los pocos de tus aliados que no fueron abatidos se ríen y suspiran con alivio. El peligro ha pasado.,"Sojusznicy, którzy przeżyli, śmieją się i oddychają z ulgą. Niebezpieczeństwo minęło."
Scenario_SOLO_Soothsinger_BattleOfTheBards_Success_3,The owner of the Brown Door thanks you for your help and offers you a generous portion of the drink sales whenever you come to play.,"Le propriétaire de la Porte Brune vous remercie pour votre aide et vous propose une large part des revenus des boissons, la prochaine fois que vous viendrez jouer.","Der Wirt der Braunen Tür dankt dir für die Hilfe und bietet dir einen großzügigen Anteil an den Getränkeeinnahmen, wann immer du auftrittst.",El propietario de la Puerta Marrón te agradece la ayuda y te hace la generosa oferta de darte una parte de la recaudación de las bebidas que se vendan cuando vengas a tocar.,Właściciel Brązowych Drzwi dziękuje ci za pomoc i oferuje spory procent zysków od gorzałki sprzedanej przy każdym twym występie.
Scenario_SOLO_Soothsinger_BattleOfTheBards_Success_4,"The real reward, however, is the blood stained lute you pulled from the dead hands of the Song of the Deep. It is a true work of art.","Mais la vraie récompense, c'est ce luth maculé de sang que vous avez arraché des mains sans vie du Chant des Profondeurs. C'est une véritable œuvre d'art.","Die eigentliche Belohnung aber ist die blutfleckige Laute, die du Tiefenlied aus den toten Händen windest. Sie ist ein wahres Kunstwerk.","Sin embargo, la verdadera recompensa es el ensangrentado laúd que cogiste de las manos muertas de la Canción de las profundidades. Es una verdadera obra de arte.","Jednak prawdziwą nagrodą jest zakrwawiona lutnia, którą wyciągnęłaś z martwych rąk Pieśni Otchłani. To zaprawdę dzieło sztuki."
Quest_SOLO_Doomstalker_CorruptedHunt_NAME,Corrupted Hunt,La Chasse Corrompue,Dämonenjagd,Caza corrupta,Spaczone łowy
Quest_SOLO_Doomstalker_CorruptedHunt_DESC,The Doomstalker revisits the village they grew up in,Le Condamneur retourne au village dans lequel il a grandi,Der Schicksalsläufer sucht sein Heimatdorf auf,El Cazador silencioso regresa al pueblo en el que creció.,"Siewca Zguby wraca do wioski, w której dorastał"
Quest_SOLO_Doomstalker_CorruptedHunt_List,The Doomstalker's Solo Quest,Quête solo du Condamneur,Soloquest des Schicksalsläufers,Misión en solitario del Cazador silencioso,Solowa misja Siewcy Zguby
Quest_SOLO_Doomstalker_CorruptedHunt_INTRO_GH_1,Your thoughts often turn to the village you used to call your home.,Vos pensées vous ramènent souvent au village que vous considériez comme votre foyer.,"Deine Gedanken wandern oft zu dem Dorf, das du dein Zuhause nanntest.","A menudo, tus pensamientos regresan al poblado que solías llamar hogar.","Często myślisz o wiosce, która była niegdyś twoim domem."
Quest_SOLO_Doomstalker_CorruptedHunt_INTRO_GH_2,"You chose this mercenary lifestyle, and sometimes that very choice causes a guilt to well up inside you... a sense of shame that you are not using your skills to help protect your village from harm.","Cette vie de mercenaire, vous l'avez choisie, mais parfois, ce choix fait naître une certaine culpabilité en vous. Il est en effet des jours où vous vous en voulez de ne pas mettre à profit vos compétences pour aider à défendre votre village natal.","Du hast dieses Leben als Söldner frei gewählt, und manchmal steigt gerade deswegen ein gewisses Schuldgefühl in dir auf - weil du deine Fähigkeiten nicht einsetzt, um dein Dorf vor Schaden zu bewahren.","Has elegido el estilo de vida mercenario y, en ocasiones, esa decisión provoca que la culpa brote en tu interior, la vergüenza de no estar empleando tus habilidades en ayudar a proteger tu poblado de las fuerzas que puedan dañarlo.","Wybrałeś życie najemnika, ale czasami ten wybór wywołuje u ciebie poczucie winy. Czujesz wstyd, że nie używasz swoich umiejętności, aby chronić swoją wioskę przed siłami, które mogłyby jej zaszkodzić."
